29.0,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,0.0
29.0,61.0,13.0,1.3,64.4,4.1,7.6,1.0,3.9,0.4,0.0
26.0,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0.0
25.0,89.0,13.0,2.5,28.6,1.3,6.9,0.0,1.7,0.0,0.0
27.0,77.0,16.0,0.0,64.8,3.0,14.2,1.2,3.9,0.5,0.0
25.0,88.0,13.0,0.2,52.9,7.9,38.8,0.4,10.5,0.3,0.0
28.0,79.0,12.0,0.0,73.2,9.5,46.3,1.3,12.6,0.9,0.0
27.0,84.0,21.0,1.2,50.0,6.7,17.0,0.5,6.7,0.2,0.0
30.0,78.0,20.0,0.5,59.0,4.6,7.8,1.0,4.4,0.4,0.0
28.0,80.0,17.0,3.1,49.4,3.0,7.4,0.4,3.0,0.1,0.0
29.0,89.0,13.0,0.7,36.1,1.7,7.6,0.0,2.2,0.0,0.0
30.0,89.0,16.0,0.6,37.3,1.1,7.8,0.0,1.6,0.0,0.0
31.0,78.0,14.0,0.3,56.9,1.9,8.0,0.7,2.4,0.2,0.0
31.0,55.0,16.0,0.1,79.9,4.5,16.0,2.5,5.3,1.4,0.0
30.0,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0.0
31.0,67.0,17.0,0.1,79.1,7.0,39.5,2.4,9.7,2.3,0.0
32.0,47.0,13.0,0.3,79.9,18.4,84.4,2.2,23.8,3.9,0.0
29.0,68.0,19.0,1.0,59.9,2.5,8.6,1.1,2.9,0.4,0.0
27.0,75.0,19.0,1.2,55.7,2.4,8.3,0.8,2.8,0.3,0.0
32.0,76.0,20.0,0.7,63.1,2.6,9.2,1.3,3.0,0.5,0.0
33.0,78.0,17.0,0.0,80.1,4.6,18.5,2.7,5.7,1.7,0.0
35.0,64.0,18.0,0.2,80.0,9.7,40.4,2.8,12.1,3.2,0.0
32.0,68.0,14.0,1.4,66.6,7.7,9.2,1.1,7.4,0.6,0.0
33.0,69.0,13.0,0.7,66.6,6.0,9.3,1.1,5.8,0.5,0.0
33.0,76.0,14.0,0.0,81.1,8.1,18.7,2.6,8.1,2.2,0.0
31.0,75.0,13.0,0.1,75.1,7.9,27.7,1.5,9.2,0.9,0.0
34.0,81.0,15.0,0.0,81.8,9.7,37.2,3.0,11.7,3.4,0.0
34.0,61.0,13.0,0.6,73.9,7.8,22.9,1.4,8.4,0.8,0.0
30.0,80.0,19.0,0.4,60.7,5.2,17.0,1.1,5.9,0.5,0.0
28.0,76.0,21.0,0.0,72.6,7.0,25.5,0.7,8.3,0.4,0.0
28.0,79.0,18.0,0.1,73.4,16.4,79.9,1.8,21.7,2.8,0.0
27.0,66.0,22.0,0.4,68.2,10.5,71.3,1.8,15.4,2.1,0.0
28.0,78.0,16.0,0.1,70.0,9.6,79.7,1.4,14.7,1.3,0.0
36.0,45.0,14.0,0.0,78.8,4.8,10.2,2.0,4.7,0.9,0.0
35.0,55.0,12.0,0.4,78.0,5.8,10.0,1.7,5.5,0.8,0.0
35.0,63.0,14.0,0.3,76.6,5.7,10.0,1.7,5.5,0.8,0.0
32.0,60.0,18.0,0.3,77.1,11.3,47.0,2.2,14.1,2.6,0.0
35.0,51.0,13.0,0.3,81.3,15.6,75.1,2.5,20.7,4.2,0.0
35.0,70.0,17.0,0.8,72.7,25.2,180.4,1.7,37.4,4.2,0.0
28.0,80.0,21.0,16.8,52.5,8.7,8.7,0.6,8.3,0.3,0.0
